round,train_months,feature_count,pr_auc,roc_auc,top3_rows,precision_at_top3,top3_avg_future_return_1m,top3_avg_future_return_2m,top3_avg_future_return_3m,top3_avg_future_max_return_1_3m,top3_hit30_rate,top3_hit40_rate,top3_hit50_rate,top3_hit100_rate,monthly_any_top3_hit30_rate,monthly_any_top3_hit50_rate,monthly_any_top3_hit100_rate,top5_rows,precision_at_top5,top5_avg_future_return_1m,top5_avg_future_return_2m,top5_avg_future_return_3m,top5_avg_future_max_return_1_3m,top5_hit30_rate,top5_hit40_rate,top5_hit50_rate,top5_hit100_rate,monthly_any_top5_hit30_rate,monthly_any_top5_hit50_rate,monthly_any_top5_hit100_rate,top10_rows,precision_at_top10,top10_avg_future_return_1m,top10_avg_future_return_2m,top10_avg_future_return_3m,top10_avg_future_max_return_1_3m,top10_hit30_rate,top10_hit40_rate,top10_hit50_rate,top10_hit100_rate,monthly_any_top10_hit30_rate,monthly_any_top10_hit50_rate,monthly_any_top10_hit100_rate
10,61,100,0.2972366247484081,0.8515774835418922,99,0.47474747474747475,0.20722125108163122,0.31873196732293596,0.35778323189632844,0.5643235261676522,0.47474747474747475,0.42424242424242425,0.3838383838383838,0.21212121212121213,0.696969696969697,0.6363636363636364,0.45454545454545453,165,0.43636363636363634,0.1855852131622092,0.3582264866345393,0.41913428400307523,0.6060266078355301,0.4484848484848485,0.3939393939393939,0.3575757575757576,0.19393939393939394,0.7272727272727273,0.6363636363636364,0.48484848484848486,330,0.4212121212121212,0.14044913921142138,0.2809813477804934,0.3696337133075768,0.5419841357917957,0.43636363636363634,0.3878787878787879,0.3303030303030303,0.15757575757575756,0.8787878787878788,0.8181818181818182,0.6060606060606061
11,61,98,0.2898235817036943,0.8506771241355918,99,0.41414141414141414,0.1931899745028999,0.31310971160708867,0.4097923319453176,0.5787669235938889,0.42424242424242425,0.36363636363636365,0.3434343434343434,0.1717171717171717,0.696969696969697,0.6060606060606061,0.42424242424242425,165,0.42424242424242425,0.1639698194829184,0.345305632723851,0.5438505024553776,0.6940965155046596,0.43636363636363634,0.3939393939393939,0.3333333333333333,0.17575757575757575,0.7878787878787878,0.696969696969697,0.5151515151515151,330,0.4,0.1334947072820707,0.2823133504358554,0.4092638867661078,0.5714786248590218,0.4121212121212121,0.3696969696969697,0.30606060606060603,0.16363636363636364,0.8484848484848485,0.7272727272727273,0.6363636363636364
12,61,94,0.2994298439112219,0.8512031531917119,99,0.47474747474747475,0.17029840794794482,0.377006601824304,0.6602640439505048,0.8399438813370436,0.494949494949495,0.40404040404040403,0.36363636363636365,0.1919191919191919,0.7575757575757576,0.6363636363636364,0.3939393939393939,165,0.4484848484848485,0.16372862387201556,0.32677045276415095,0.5769838909935073,0.7333699709750716,0.46060606060606063,0.3939393939393939,0.34545454545454546,0.21212121212121213,0.7878787878787878,0.696969696969697,0.5151515151515151,330,0.43636363636363634,0.13801135916358084,0.3041163918133734,0.46769217713170935,0.6290132910464762,0.44242424242424244,0.3878787878787879,0.3424242424242424,0.19090909090909092,0.8484848484848485,0.7878787878787878,0.6060606060606061
13,61,102,0.2923043625731591,0.8514133299187923,99,0.45454545454545453,0.16993300949017434,0.40587469363986534,0.6622823144125378,0.8354037085871581,0.46464646464646464,0.41414141414141414,0.3838383838383838,0.20202020202020202,0.6666666666666666,0.6060606060606061,0.42424242424242425,165,0.42424242424242425,0.14850830536339918,0.3456933609009599,0.5370176956932652,0.7010268138812551,0.4303030303030303,0.3939393939393939,0.3515151515151515,0.1696969696969697,0.7575757575757576,0.6666666666666666,0.45454545454545453,330,0.4,0.1305058051794013,0.27251336090115674,0.4064613948584675,0.5695119390838734,0.41515151515151516,0.36666666666666664,0.32727272727272727,0.1696969696969697,0.7575757575757576,0.696969696969697,0.5454545454545454
14,61,94,0.3038498943968983,0.852120119154226,99,0.46464646464646464,0.2081442731258075,0.4526346135096992,0.8289543484486629,0.9730275032012182,0.47474747474747475,0.43434343434343436,0.3939393939393939,0.21212121212121213,0.6666666666666666,0.6060606060606061,0.3939393939393939,165,0.45454545454545453,0.17301190195171978,0.3790810874271671,0.6339909568942533,0.7761479551456858,0.4666666666666667,0.41818181818181815,0.3878787878787879,0.21818181818181817,0.7878787878787878,0.7272727272727273,0.5151515151515151,330,0.4,0.12698922070216495,0.27778108904590476,0.4285274643221321,0.5863736453662528,0.4121212121212121,0.36666666666666664,0.3212121212121212,0.1696969696969697,0.8484848484848485,0.7575757575757576,0.6060606060606061
15,61,103,0.28677557843651885,0.8528539759837513,99,0.42424242424242425,0.17598219455109856,0.26884835189458495,0.38768732966912556,0.5418042205870001,0.42424242424242425,0.3838383838383838,0.3434343434343434,0.1919191919191919,0.696969696969697,0.6060606060606061,0.3939393939393939,165,0.4121212121212121,0.15723342688408803,0.22321085153140482,0.2974470642292616,0.47054623908648524,0.41818181818181815,0.38181818181818183,0.3333333333333333,0.14545454545454545,0.7878787878787878,0.696969696969697,0.48484848484848486,330,0.4121212121212121,0.13961075610800328,0.26558766615961743,0.3889699041069806,0.5509528639998741,0.42424242424242425,0.37575757575757573,0.3242424242424242,0.1606060606060606,0.8181818181818182,0.7878787878787878,0.5757575757575758
16,61,99,0.2860768455392504,0.850088246911959,99,0.4444444444444444,0.18184071847188102,0.3960576382398264,0.5149796089935254,0.6894118026908566,0.45454545454545453,0.3939393939393939,0.37373737373737376,0.1919191919191919,0.7878787878787878,0.6363636363636364,0.42424242424242425,165,0.4121212121212121,0.1774292851641718,0.35544568980977465,0.546149932924671,0.7266593674308579,0.41818181818181815,0.37575757575757573,0.3393939393939394,0.18181818181818182,0.8181818181818182,0.696969696969697,0.42424242424242425,330,0.4121212121212121,0.1245836673781036,0.2720582759733981,0.41195757402045546,0.5793863826693748,0.41818181818181815,0.3696969696969697,0.30606060606060603,0.15757575757575756,0.8787878787878788,0.7878787878787878,0.5151515151515151
17,61,101,0.29386528610920304,0.8528747614924334,99,0.4444444444444444,0.1865738510930086,0.317510471137047,0.4112266376860899,0.5733857361372086,0.45454545454545453,0.40404040404040403,0.37373737373737376,0.1717171717171717,0.696969696969697,0.6060606060606061,0.42424242424242425,165,0.4121212121212121,0.1723025032885738,0.2994056382659585,0.3524040061914051,0.5348543549179092,0.42424242424242425,0.3878787878787879,0.3515151515151515,0.1696969696969697,0.7272727272727273,0.6363636363636364,0.48484848484848486,330,0.43333333333333335,0.13699375627091454,0.2821831852985061,0.4091911063694616,0.5761108035308586,0.44545454545454544,0.3878787878787879,0.3303030303030303,0.16363636363636364,0.8787878787878788,0.7575757575757576,0.6060606060606061
18,61,97,0.29869993136735074,0.8516709500474242,99,0.48484848484848486,0.27002696757597094,0.47687337789768747,0.6448041323563185,0.842669237341645,0.494949494949495,0.4444444444444444,0.3939393939393939,0.25252525252525254,0.7575757575757576,0.6666666666666666,0.48484848484848486,165,0.4909090909090909,0.21160056606571803,0.39437107021767265,0.6417011570264433,0.8128656448449425,0.503030303030303,0.45454545454545453,0.4121212121212121,0.21818181818181817,0.7878787878787878,0.7878787878787878,0.5151515151515151,330,0.42424242424242425,0.13726554067497268,0.2737827552370176,0.41903113811326814,0.5877934891755847,0.43333333333333335,0.38484848484848483,0.3242424242424242,0.16363636363636364,0.8787878787878788,0.7878787878787878,0.6363636363636364
19,61,104,0.29392637118958415,0.8526090565930131,99,0.47474747474747475,0.24773610556411038,0.4631554328039607,0.5828313338518671,0.7656414285657552,0.47474747474747475,0.42424242424242425,0.37373737373737376,0.21212121212121213,0.7878787878787878,0.6060606060606061,0.45454545454545453,165,0.4121212121212121,0.18137572183283696,0.35437731484404555,0.5500730396796125,0.7183159032789543,0.41818181818181815,0.37575757575757573,0.32727272727272727,0.19393939393939394,0.8484848484848485,0.6666666666666666,0.5454545454545454,330,0.403030303030303,0.13243768375247023,0.2964969309240575,0.45194266006711215,0.6107371081107249,0.4121212121212121,0.37575757575757573,0.3212121212121212,0.18181818181818182,0.8787878787878788,0.7575757575757576,0.6363636363636364
