rank,month,ticker,ensemble_score,main_score,five_seed_avg_score,five_seed_score_std,rounds_100_avg_score,rounds_100_score_std,mom_6m,mom_3m,rel_mom_6m_vs_qqq,liquid_vol_score,avg_dollar_volume_3m,large_move_freq_3m,source_count,source_weight_sum,theme_count
11,2026-08-31,LRCX,0.9790015,0.98456514,0.98108876,0.002271628,0.9713507,0.0048945374,0.3337150988342774,-0.0207765148770254,0.140319426021946,0.9411701358851402,3900834538.3464513,0.5238095238095238,2.0,7.0,2.0
12,2026-08-31,ENPH,0.9789484,0.98554635,0.9776038,0.004961998,0.9736952,0.004336621,-0.0094630121018945,-0.387507335312333,-0.2028586849142259,0.7742875553134757,366500899.68913245,0.6349206349206349,1.0,3.0,1.0
13,2026-08-31,QBTS,0.9789097,0.98498255,0.97859955,0.0040307892,0.9731468,0.004571557,0.1054312816742499,-0.3112143115698985,-0.0879643911380814,0.8864871359456601,718769273.0161031,0.6507936507936508,1.0,4.0,1.0
14,2026-08-31,PLUG,0.97858334,0.9820113,0.9813608,0.001977939,0.9723778,0.00469549,0.2178771582209659,-0.4481012555846533,0.0244814854086345,0.672094418278456,195461243.26658952,0.4285714285714285,1.0,3.0,1.0
15,2026-08-31,HOOD,0.9771197,0.9794279,0.97967184,0.0011540316,0.9722592,0.003604156,0.2299275252768333,-0.0107105207162729,0.0365318524645019,0.9288431073090327,2500942143.692259,0.5555555555555556,2.0,7.0,2.0
16,2026-08-31,KLAC,0.976659,0.98084843,0.9792552,0.002498373,0.96987337,0.004519548,0.3011239603329341,0.030904742126067,0.1077282875206027,0.9226770120221146,2813091947.1830096,0.5079365079365079,2.0,7.0,2.0
17,2026-08-31,SMCI,0.9763991,0.9785123,0.97837657,0.0014850171,0.9723083,0.004942601,-0.0389009031375443,-0.3245823593467987,-0.2322965759498757,0.9469384013471034,1718354103.862466,0.6190476190476191,2.0,7.0,2.0
18,2026-08-31,AMD,0.9761791,0.98002636,0.9749473,0.0031581635,0.97356355,0.0042218436,1.4142648676015623,-0.0634373024280899,1.220869194789231,0.9615461429196972,15696603304.853846,0.5714285714285714,2.0,8.0,2.0
19,2026-08-31,NXT,0.97588176,0.98107797,0.9760157,0.0030064313,0.9705516,0.005285412,-0.0175071014710211,-0.3397697815475963,-0.2109027742833525,0.7666141566897711,377651830.8601864,0.5714285714285714,1.0,4.0,1.0
20,2026-08-31,FLEX,0.9733479,0.97798187,0.975628,0.0020913393,0.9664337,0.0051501635,0.9255791430127088,-0.1951850414076056,0.7321834702003776,0.8823281677756061,966081219.9849083,0.4603174603174603,1.0,3.0,1.0
21,2026-08-31,SOUN,0.9731043,0.97471005,0.97331345,0.0036806534,0.97128946,0.0042719776,-0.0674418486022129,-0.1088888380262587,-0.2608375214145443,0.6819515199413313,221030415.09353548,0.4603174603174603,1.0,4.0,1.0
22,2026-08-31,LEU,0.9725907,0.9746562,0.9739598,0.004185128,0.969156,0.0050479895,-0.0553827998594255,0.0487751073433684,-0.2487784726717569,0.6452764160783769,149339376.58134338,0.5555555555555556,1.0,3.0,1.0
23,2026-08-31,IONQ,0.9719965,0.9760399,0.97221136,0.0034174793,0.9677383,0.0072206724,0.1579359275992906,-0.3835160192408524,-0.0354597452130407,0.9321389538588604,1378255593.955134,0.6349206349206349,1.0,4.0,1.0
24,2026-08-31,RGTI,0.9719123,0.9745763,0.97063875,0.0031337512,0.97052187,0.005297545,0.0298507724159724,-0.2975724396646053,-0.1635449003963589,0.8965756375067194,799968416.9802635,0.6825396825396826,1.0,4.0,1.0
25,2026-08-31,AMAT,0.97145563,0.9751482,0.97068614,0.003950027,0.9685326,0.004589084,0.4499335583701065,0.1979292040462812,0.2565378855577751,0.9334992292603392,5233702442.177715,0.5079365079365079,2.0,7.0,2.0
26,2026-08-31,UUUU,0.9709506,0.97296935,0.97110116,0.0021703178,0.9687813,0.004967816,-0.3367729575176554,-0.2239296994397397,-0.5301686303299868,0.6425528392767508,143465148.60311386,0.5873015873015873,1.0,3.0,1.0
27,2026-08-31,MSTR,0.9698747,0.9715954,0.9707139,0.0036045434,0.9673146,0.005867569,-0.2277219912260194,-0.3713620941707759,-0.4211176640383508,0.9392500507299776,2328928221.194034,0.6507936507936508,1.0,4.0,1.0
28,2026-08-31,INTC,0.9693087,0.9728636,0.9709665,0.0037410234,0.9640959,0.0059186323,1.2286779251392643,-0.1136204982963259,1.0352822523269332,0.965707425088733,14098575406.757244,0.5396825396825397,1.0,3.0,1.0
29,2026-08-31,VRT,0.96917176,0.972718,0.96804,0.0041068178,0.9667573,0.005761442,0.0691730537337735,-0.1370033335482928,-0.1242226190785578,0.9158295330350056,1947789803.167652,0.4444444444444444,2.0,7.0,2.0
30,2026-08-31,MRNA,0.9681916,0.973315,0.96921176,0.0032764832,0.9620481,0.0056048804,0.1045360930749108,0.2538673424638711,-0.0888595797374205,0.7821870138377138,447160922.8026012,0.4603174603174603,1.0,3.0,1.0
